Sentence,Sentiment
pathetic ev car introduce manufacturer stay mum unsustainable li anymore alternative found yucks,0
rambling contradicts many time becomes laughable sodium replace lithium 2023 sodium least 10 year behind lithium catl sodium reaching lithium density sodium low density good storage battery go saying nothing value,0
instead ban private car use public transport system problem solved,0
still need fossil fuel charge electric car drop carbon emission much,0
technology done hundred plus year ago failed repeating history dont buy hype,0
still early stage hope best human may crack one day someone killed hate jealousy anger one main challenge sodium battery lower energy density compared lithiumion battery mean may able store much energy amount space additionally sodium battery may issue stability safety due highly reactive nature sodium also may require different material electrode electrolyte compared lithiumion battery could lead higher cost longer development time finally also challenge related scaling production sodium battery meet demand largescale application thankyou god bless,0
nothing like diesel kitty,0
pathetic ev car introduce manufacturer stay mum unsustainable li anymore alternative found yucks,0
need one drop rain uninsulated area battery firework begin,0
man watching video new battery tech since 2010 niobium battery salt battery sand like battery cat piss battery etc etc etc none available today dont know failed test take decade testing man always build hype around never deliver product,0
cant wait bright mind use tech replace nissan leaf need life expensive af tesla,0
cant wait bright mind use tech replace nissan leaf need life expensive af tesla,0
le efficiency mean volume already heavy dangerous future toyota hydrogen internal combustion engine exhaust water,0
stock video crappy text speech audio another channel avoid,0
video audio something playing loop thats completely distracting fy,0
sodium crap life fraction time lithium throw away,0
le efficiency mean volume already heavy dangerous future toyota hydrogen internal combustion engine exhaust water,0
would china dominant sodium battery market dont think might weaken theyre grip battery market since like said sodium abundant technology held back,0
pure electric never good idea ever,0
stock video crappy text speech audio another channel avoid,0
great detailed point video article posted mate hand many way manipulating market able grasp knowledge trading crypto asset early enough still limited due lack technical understanding analyze digital market changed encountered draymus willow strategy emphasis put day trading le affected unpredictable nature market,0
le efficiency mean volume already heavy dangerous future toyota hydrogen internal combustion engine exhaust water,0
think china train truck use high end ev technology transport uyghurs muslim internment camp nah,0
going charged fossil fuel,0
u win race mean another war world like oil terrorist war,0
great detailed point video article posted mate hand many way manipulating market able grasp knowledge trading crypto asset early enough still limited due lack technical understanding analyze digital market changed encountered draymus willow strategy emphasis put day trading le affected unpredictable nature market,0
nothing like diesel kitty,0
first dont need electric vehicle convert vehicle right run hydrogen methane alcohol want reinvent wheel,0
wont many problem sodium batteriesbut name fewthey dont hold voltage dont hold long low ampsthey last half long recycled upside dont pollute much lithium,0
pure electric never good idea ever,0
think china train truck use high end ev technology transport uyghurs muslim internment camp nah,0
lithium lower price finite resource demand increasing price go hydrogen hand infinite resource thaat scope technological advancement separating therefore see cost lower,0
question china steal technology,0
people doubt sell chinese,0
wont like last 10 20 new batts didnt nice try tho,0
sea contains trillion ton sodium wonder cheap,0
lithium battery car made wrong like driving electracution chair around,0
still need fossil fuel charge electric car drop carbon emission much,0
lithium bad thats given 236 still havent got point,0
carbon dioxide doesnt cause global warming,0
think china train truck use high end ev technology transport uyghurs muslim internment camp nah,0
stop destroying planetuse batteriesit us power charge power station required day soon joke,0
rambling contradicts many time becomes laughable sodium replace lithium 2023 sodium least 10 year behind lithium catl sodium reaching lithium density sodium low density good storage battery go saying nothing value,0
chinese propaganda film,0
would china dominant sodium battery market dont think might weaken theyre grip battery market since like said sodium abundant technology held back,0
video low actual informationso frustrating,0
carbon dioxide doesnt cause global warming,0
one problem sodium battery available home storage use backup power second maker greed profit market share third even u produce battery cheaper buy america doesnt creditablitty reliable partner business reason 5o list made point,0
nothing like diesel kitty,0
aluminum sulfur 500 whrs per wait charge 1 minute life span 20 year,0
pathetic ev car introduce manufacturer stay mum unsustainable li anymore alternative found yucks,0
sodium damage soil,0
hope isnt molten salt battery mainly used military due extremely dangerous corrosive explosion use water case fire,0
lithium lower price finite resource demand increasing price go hydrogen hand infinite resource thaat scope technological advancement separating therefore see cost lower,0
unless double range ev wasting everyone time,0
much repetitive talk throughout video,0
aluminum sulfur 500 whrs per wait charge 1 minute life span 20 year,0
1 safety 2 fast charge 3 last longer 4 cheappppp,0
stock video crappy text speech audio another channel avoid,0
great detailed point video article posted mate hand many way manipulating market able grasp knowledge trading crypto asset early enough still limited due lack technical understanding analyze digital market changed encountered draymus willow strategy emphasis put day trading le affected unpredictable nature market,0
need think environment alsouse litithium cause effect environment also pollutes drinking water 2 important life sustain,0
sea contains trillion ton sodium wonder cheap,0
lithium bad thats given 236 still havent got point,0
one problem sodium battery available home storage use backup power second maker greed profit market share third even u produce battery cheaper buy america doesnt creditablitty reliable partner business reason 5o list made point,0
think china train truck use high end ev technology transport uyghurs muslim internment camp nah,0
still early stage hope best human may crack one day someone killed hate jealousy anger one main challenge sodium battery lower energy density compared lithiumion battery mean may able store much energy amount space additionally sodium battery may issue stability safety due highly reactive nature sodium also may require different material electrode electrolyte compared lithiumion battery could lead higher cost longer development time finally also challenge related scaling production sodium battery meet demand largescale application thankyou god bless,0
lithium bad thats given 236 still havent got point,0
lithium dead end take 500000 gallon water process ton sodium could path mass production reality talk,0
unless double range ev wasting everyone time,0
ev fix nothing energy run ev still fossil fuel except extra burden disposing massive inefficient electric battery,0
video audio something playing loop thats completely distracting fy,0
much repetitive talk throughout video,0
sodium crap life fraction time lithium throw away,0
hope isnt molten salt battery mainly used military due extremely dangerous corrosive explosion use water case fire,0
great detailed point video article posted mate hand many way manipulating market able grasp knowledge trading crypto asset early enough still limited due lack technical understanding analyze digital market changed encountered draymus willow strategy emphasis put day trading le affected unpredictable nature market,0
knowing choose use lithium instead sodium start periodic table made like 23 year ago,0
fake news,0
wont like last 10 20 new batts didnt nice try tho,0
hope isnt molten salt battery mainly used military due extremely dangerous corrosive explosion use water case fire,0
fake news,0
instead ban private car use public transport system problem solved,0
sodium damage soil,0
1 safety 2 fast charge 3 last longer 4 cheappppp,0
think china train truck use high end ev technology transport uyghurs muslim internment camp nah,0
battery war obsolete produce cheaper hydrogen hydrogen car engine advanced certain level require battery anymore operate done need money research pour onto,0
staggering many channel make segment battery make sweeping claim thermal runaway lithium ion like one chemistry flammablemakes wonder else getting wrong expect ev become much cheaper gas car battery properly scaled much simpler cheaper faster make,0
video audio something playing loop thats completely distracting fy,0
unless double range ev wasting everyone time,0
life time battery low,0
there one problem capitalism nothing get cheaper video host isnt familiar capitalism greed work,0
still need fossil fuel charge electric car drop carbon emission much,0
still early stage hope best human may crack one day someone killed hate jealousy anger one main challenge sodium battery lower energy density compared lithiumion battery mean may able store much energy amount space additionally sodium battery may issue stability safety due highly reactive nature sodium also may require different material electrode electrolyte compared lithiumion battery could lead higher cost longer development time finally also challenge related scaling production sodium battery meet demand largescale application thankyou god bless,0
unless double range ev wasting everyone time,0
man watching video new battery tech since 2010 niobium battery salt battery sand like battery cat piss battery etc etc etc none available today dont know failed test take decade testing man always build hype around never deliver product,0
chinese propaganda film,0
sodium crap life fraction time lithium throw away,0
nothing like diesel kitty,0
lithium battery car made wrong like driving electracution chair around,0
bad chinese electric car crazy propensity catch fire,0
sodium damage soil,0
lithium bad thats given 236 still havent got point,0
stock video crappy text speech audio another channel avoid,0
le efficiency mean volume already heavy dangerous future toyota hydrogen internal combustion engine exhaust water,0
1 safety 2 fast charge 3 last longer 4 cheappppp,0
lithium lower price finite resource demand increasing price go hydrogen hand infinite resource thaat scope technological advancement separating therefore see cost lower,0
bad chinese electric car crazy propensity catch fire,0
u fall behind u suck day,0
instead ban private car use public transport system problem solved,0
still need fossil fuel charge electric car drop carbon emission much,0
bad chinese electric car crazy propensity catch fire,0
energy density limited recharge cycle keep battery vehicle could find use storage battery size important issue range,0
lithium lower price finite resource demand increasing price go hydrogen hand infinite resource thaat scope technological advancement separating therefore see cost lower,0
one problem sodium battery available home storage use backup power second maker greed profit market share third even u produce battery cheaper buy america doesnt creditablitty reliable partner business reason 5o list made point,0
aluminum sulfur 500 whrs per wait charge 1 minute life span 20 year,0
le efficiency mean volume already heavy dangerous future toyota hydrogen internal combustion engine exhaust water,0
energy density limited recharge cycle keep battery vehicle could find use storage battery size important issue range,0
think china train truck use high end ev technology transport uyghurs muslim internment camp nah,0
still early stage hope best human may crack one day someone killed hate jealousy anger one main challenge sodium battery lower energy density compared lithiumion battery mean may able store much energy amount space additionally sodium battery may issue stability safety due highly reactive nature sodium also may require different material electrode electrolyte compared lithiumion battery could lead higher cost longer development time finally also challenge related scaling production sodium battery meet demand largescale application thankyou god bless,0
le efficiency mean volume already heavy dangerous future toyota hydrogen internal combustion engine exhaust water,0
cant wait bright mind use tech replace nissan leaf need life expensive af tesla,0
carbon dioxide doesnt cause global warming,0
ev fix nothing energy run ev still fossil fuel except extra burden disposing massive inefficient electric battery,0
