,Sentence,Sentiment
90,new tool coming ai equivalent new javascript framework coming doomed,0
143,counterbalance comment contrary indeed sick ai video,0
113,worst thing ai javascript framework,0
98,wouldnt easier build neural net remove water mark instead existing site basically remove tiktok water mark,0
91,j churn ai churn panic attack depression nirvana,0
144,anyone think vector database scam give wait universal basic income,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
141,everybody say vector database scam never dealt word embedding playing around word2vec cosine similarity,0
152,remember guy web 30 xdxd scam useless piece tech xdxd,0
98,wouldnt easier build neural net remove water mark instead existing site basically remove tiktok water mark,0
98,wouldnt easier build neural net remove water mark instead existing site basically remove tiktok water mark,0
144,anyone think vector database scam give wait universal basic income,0
56,building meme search engine fun killed might apply implementation,0
91,j churn ai churn panic attack depression nirvana,0
53,tired mainstream ai video video always unique intriguing,0
149,know im tired ai stuff maybe go back weekly javascript framework cycle,0
144,anyone think vector database scam give wait universal basic income,0
29,damn started really rely fireship ai news,0
99,stop blowing mind dude much power hand,0
66,guy know talking like gpt image instead tokenized letter word phrase generative transforms xd get point,0
29,damn started really rely fireship ai news,0
144,anyone think vector database scam give wait universal basic income,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
99,stop blowing mind dude much power hand,0
149,know im tired ai stuff maybe go back weekly javascript framework cycle,0
99,stop blowing mind dude much power hand,0
126,image search engine better google good image search engine better google made using javascript wtf,0
93,still dont get use neural net vectorizer doesnt mean lose data ie lossless format,0
116,oof follow ill odea im actually still good way get point across,0
113,worst thing ai javascript framework,0
113,worst thing ai javascript framework,0
141,everybody say vector database scam never dealt word embedding playing around word2vec cosine similarity,0
99,stop blowing mind dude much power hand,0
152,remember guy web 30 xdxd scam useless piece tech xdxd,0
143,counterbalance comment contrary indeed sick ai video,0
53,tired mainstream ai video video always unique intriguing,0
57,hello veen interested thing dont love builder pattern many video explain bad opinion please,0
141,everybody say vector database scam never dealt word embedding playing around word2vec cosine similarity,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
144,anyone think vector database scam give wait universal basic income,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
140,dont like builderpatterns,0
56,building meme search engine fun killed might apply implementation,0
108,definitely tired ai content video still go hard,0
140,dont like builderpatterns,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
144,anyone think vector database scam give wait universal basic income,0
29,damn started really rely fireship ai news,0
143,counterbalance comment contrary indeed sick ai video,0
113,worst thing ai javascript framework,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
99,stop blowing mind dude much power hand,0
91,j churn ai churn panic attack depression nirvana,0
113,worst thing ai javascript framework,0
53,tired mainstream ai video video always unique intriguing,0
108,definitely tired ai content video still go hard,0
126,image search engine better google good image search engine better google made using javascript wtf,0
56,building meme search engine fun killed might apply implementation,0
140,dont like builderpatterns,0
91,j churn ai churn panic attack depression nirvana,0
56,building meme search engine fun killed might apply implementation,0
29,damn started really rely fireship ai news,0
66,guy know talking like gpt image instead tokenized letter word phrase generative transforms xd get point,0
149,know im tired ai stuff maybe go back weekly javascript framework cycle,0
93,still dont get use neural net vectorizer doesnt mean lose data ie lossless format,0
56,building meme search engine fun killed might apply implementation,0
149,know im tired ai stuff maybe go back weekly javascript framework cycle,0
140,dont like builderpatterns,0
99,stop blowing mind dude much power hand,0
29,damn started really rely fireship ai news,0
93,still dont get use neural net vectorizer doesnt mean lose data ie lossless format,0
56,building meme search engine fun killed might apply implementation,0
108,definitely tired ai content video still go hard,0
116,oof follow ill odea im actually still good way get point across,0
113,worst thing ai javascript framework,0
91,j churn ai churn panic attack depression nirvana,0
108,definitely tired ai content video still go hard,0
152,remember guy web 30 xdxd scam useless piece tech xdxd,0
91,j churn ai churn panic attack depression nirvana,0
144,anyone think vector database scam give wait universal basic income,0
116,oof follow ill odea im actually still good way get point across,0
104,im always getting input image back result could wrong,0
140,dont like builderpatterns,0
113,worst thing ai javascript framework,0
144,anyone think vector database scam give wait universal basic income,0
104,im always getting input image back result could wrong,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
113,worst thing ai javascript framework,0
104,im always getting input image back result could wrong,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
99,stop blowing mind dude much power hand,0
91,j churn ai churn panic attack depression nirvana,0
98,wouldnt easier build neural net remove water mark instead existing site basically remove tiktok water mark,0
141,everybody say vector database scam never dealt word embedding playing around word2vec cosine similarity,0
126,image search engine better google good image search engine better google made using javascript wtf,0
91,j churn ai churn panic attack depression nirvana,0
53,tired mainstream ai video video always unique intriguing,0
53,tired mainstream ai video video always unique intriguing,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
57,hello veen interested thing dont love builder pattern many video explain bad opinion please,0
93,still dont get use neural net vectorizer doesnt mean lose data ie lossless format,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
91,j churn ai churn panic attack depression nirvana,0
99,stop blowing mind dude much power hand,0
29,damn started really rely fireship ai news,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
116,oof follow ill odea im actually still good way get point across,0
152,remember guy web 30 xdxd scam useless piece tech xdxd,0
152,remember guy web 30 xdxd scam useless piece tech xdxd,0
57,hello veen interested thing dont love builder pattern many video explain bad opinion please,0
53,tired mainstream ai video video always unique intriguing,0
99,stop blowing mind dude much power hand,0
91,j churn ai churn panic attack depression nirvana,0
149,know im tired ai stuff maybe go back weekly javascript framework cycle,0
53,tired mainstream ai video video always unique intriguing,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
53,tired mainstream ai video video always unique intriguing,0
57,hello veen interested thing dont love builder pattern many video explain bad opinion please,0
113,worst thing ai javascript framework,0
108,definitely tired ai content video still go hard,0
53,tired mainstream ai video video always unique intriguing,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
57,hello veen interested thing dont love builder pattern many video explain bad opinion please,0
152,remember guy web 30 xdxd scam useless piece tech xdxd,0
108,definitely tired ai content video still go hard,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
113,worst thing ai javascript framework,0
113,worst thing ai javascript framework,0
93,still dont get use neural net vectorizer doesnt mean lose data ie lossless format,0
104,im always getting input image back result could wrong,0
141,everybody say vector database scam never dealt word embedding playing around word2vec cosine similarity,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
126,image search engine better google good image search engine better google made using javascript wtf,0
143,counterbalance comment contrary indeed sick ai video,0
56,building meme search engine fun killed might apply implementation,0
57,hello veen interested thing dont love builder pattern many video explain bad opinion please,0
152,remember guy web 30 xdxd scam useless piece tech xdxd,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
104,im always getting input image back result could wrong,0
113,worst thing ai javascript framework,0
98,wouldnt easier build neural net remove water mark instead existing site basically remove tiktok water mark,0
56,building meme search engine fun killed might apply implementation,0
104,im always getting input image back result could wrong,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
141,everybody say vector database scam never dealt word embedding playing around word2vec cosine similarity,0
149,know im tired ai stuff maybe go back weekly javascript framework cycle,0
29,damn started really rely fireship ai news,0
93,still dont get use neural net vectorizer doesnt mean lose data ie lossless format,0
104,im always getting input image back result could wrong,0
144,anyone think vector database scam give wait universal basic income,0
66,guy know talking like gpt image instead tokenized letter word phrase generative transforms xd get point,0
99,stop blowing mind dude much power hand,0
99,stop blowing mind dude much power hand,0
143,counterbalance comment contrary indeed sick ai video,0
98,wouldnt easier build neural net remove water mark instead existing site basically remove tiktok water mark,0
152,remember guy web 30 xdxd scam useless piece tech xdxd,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
143,counterbalance comment contrary indeed sick ai video,0
104,im always getting input image back result could wrong,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
53,tired mainstream ai video video always unique intriguing,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
66,guy know talking like gpt image instead tokenized letter word phrase generative transforms xd get point,0
91,j churn ai churn panic attack depression nirvana,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
57,hello veen interested thing dont love builder pattern many video explain bad opinion please,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
141,everybody say vector database scam never dealt word embedding playing around word2vec cosine similarity,0
93,still dont get use neural net vectorizer doesnt mean lose data ie lossless format,0
99,stop blowing mind dude much power hand,0
